,Watched,Date,Day,Rating,movieId,title,genres,release_date,vote_average,vote_count,keywords
62,with family,28/10/2018,sunday,3,7552,Fun with Dick and Jane,Comedy,21/12/2005,5.9,640,"based on novel, desperation, robber, hold-up robbery, remake"
63,with family,02/03/2019,saturday,3,76494,What to Expect When You're Expecting,"Romance, Comedy, Drama",17/05/2012,5.8,610,"based on novel, adoption, pregnant, miscarriage, expectant father"
64,with family,08/04/2018,sunday,3,76640,The Last Stand,"Action, Crime, Thriller",12/01/2013,5.7,1280,"sheriff, small town, hostage, prisoner, fbi"
65,with family,11/04/2018,wednesday,3,1970,The Grudge,"Horror, Mystery, Thriller",22/10/2004,5.8,890,"male nudity, nurse, japanese, house, remake"
66,with family,19/07/2018,thursday,3,11452,National Lampoon’s Van Wilder,"Comedy, Romance",29/03/2002,5.9,870,"male nudity, female nudity, sex, college, locker room"
67,with family,28/02/2019,thursday,3,13207,Friday the 13th,Horror,11/02/2009,5.7,570,"teenager, cabin in the woods, axe murder, camp counselor, jason vorhees"
68,with family,05/02/2019,tuesday,3,258489,The Legend of Tarzan,"Action, Adventure",29/06/2016,5.5,2490,"africa, feral child, tarzan, jungle, animal attack"
69,with family,04/05/2018,friday,3,58595,Snow White and the Huntsman,"Adventure, Fantasy, Drama",30/05/2012,5.8,3180,"queen, magic, fairy tale, immortality, forest"
70,with family,06/09/2018,thursday,3,47971,xXx: Return of Xander Cage,"Action, Adventure, Crime",13/01/2017,5.5,1500,"tattoo, spy, airplane, secret agent, parachute"
71,with family,14/05/2018,monday,3,8247,Jumper,"Adventure, Fantasy, Science Fiction",10/02/2008,5.9,1860,"adolescence, based on novel, loss of child, fight, chase"
72,Alone,11/05/2018,friday,3,91314,Transformers: Age of Extinction,"Science Fiction, Action, Adventure",25/06/2014,5.8,3140,"sequel, alien, transformers, giant robot, robot"
73,with family,12/10/2018,friday,3,1995,Lara Croft: Tomb Raider,"Adventure, Fantasy, Action, Thriller",11/06/2001,5.7,2240,"treasure, buddhist monk, planetary configuration, angkor wat, illuminati"
74,with family,29/12/2018,saturday,3,59962,This Means War,"Action, Comedy, Romance",14/02/2012,5.9,1410,"love triangle, friendship, dating, sushi bar, exploding airplane"
75,with family,11/07/2018,wednesday,3,10025,Just My Luck,"Comedy, Drama, Family, Fantasy, Romance",12/05/2006,5.8,510,"jinx, bad luck, kiss, romantic comedy, alcohol abuse"
76,with gf,23/10/2018,tuesday,3,8836,The X Files: I Want to Believe,"Drama, Mystery, Science Fiction, Thriller",24/07/2008,5.5,530,"extraterrestrial technology, fbi, alien, fbi agent, duringcreditsstinger"
77,Alone,15/04/2018,sunday,3,228165,The SpongeBob Movie: Sponge Out of Water,"Animation, Adventure, Comedy, Family",05/02/2015,5.7,730,"ocean, sea, star, water, comedy"
78,with family,08/08/2018,wednesday,3,9506,Anger Management,Comedy,11/04/2003,5.9,940,"penalty, therapist, psychology, aggression, rage"
79,with family,07/05/2019,tuesday,3,57201,The Lone Ranger,"Action, Adventure, Western",03/07/2013,5.9,2360,"texas, horse, survivor, texas ranger, partner"
80,Alone,19/08/2018,sunday,3,6282,Coyote Ugly,"Comedy, Drama, Music, Romance",30/07/2000,5.8,590,"bar, musical, beautiful woman"
81,with family,28/12/2018,friday,3,296,Terminator 3: Rise of the Machines,"Action, Thriller, Science Fiction",02/07/2003,5.9,2180,"saving the world, artificial intelligence, man vs machine, cyborg, killer robot"
82,with family,22/11/2018,thursday,3,2268,The Golden Compass,"Adventure, Fantasy",04/12/2007,5.8,1350,"england, compass, experiment, lordship, uncle"
83,with family,24/08/2018,friday,3,254473,Brick Mansions,"Action, Crime, Drama",22/04/2014,5.7,630,"martial arts, atomic bomb, ghetto, parkour, cops"
84,with family,16/10/2018,tuesday,3,24021,The Twilight Saga: Eclipse,"Adventure, Fantasy, Drama, Romance",23/06/2010,5.9,2380,"vampire, graduation, bite, immortality, werewolf"
85,with family,25/12/2018,tuesday,3,324668,Jason Bourne,"Action, Thriller",27/07/2016,5.9,2390,"assassin, amnesia, flashback"
86,with gf,18/11/2018,sunday,3,10313,The Men Who Stare at Goats,"Comedy, War",17/10/2009,5.9,760,"vietnam veteran, kuwait, new age, staring contest, drug use"
