,Watched,Day,movieId,title,genres,release_date,vote_average,vote_count,keywords
236,Alone,thursday,539,Psycho,"Drama, Horror, Thriller",1960,8.5,2400,"hotel, clerk, arizona, shower, rain"
237,with family,friday,769,GoodFellas,"Drama, Crime",1990,8.0,3200,"prison, based on novel, florida, 1970s, mass murder"
238,Alone,saturday,128,Princess Mononoke,"Adventure, Fantasy, Animation",1997,8.0,2000,"fight, wolf, iron, pan, wild boar"
239,with gf,wednesday,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama, Comedy, War",1964,8.0,1500,"usa president, general, cold war, strategic air command, nuclear missile"
240,Alone,friday,4935,Howl's Moving Castle,"Fantasy, Animation, Adventure",2004,8.0,2000,"flying, witch, rain, castle, scarecrow"
241,with gf,monday,1585,It's a Wonderful Life,"Drama, Family, Fantasy",1946,8.0,1100,"holiday, angel, based on novel, bank, suicide attempt"
242,Alone,tuesday,331214,Band of Brothers,"Action, Drama, War",2001,8.0,700,"world war ii, u.s. army, war, paratroops, miniseries"
243,with gf,sunday,975,Paths of Glory,"Drama, War",1957,8.0,600,"germany, france, general, patriotism, world war i"
244,Alone,monday,121,The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action",2002,8.0,7600,"elves, orcs, middle-earth (tolkien), hobbit, based on novel"
245,Alone,wednesday,185,A Clockwork Orange,"Science Fiction, Drama",1971,8.0,3400,"prison, street gang, rape, adolescence, sexuality"
246,with gf,thursday,278,The Shawshank Redemption,"Drama, Crime",1994,8.5,8400,"prison, corruption, police brutality, prison cell, delinquent"
247,Alone,tuesday,77,Memento,"Mystery, Thriller",2000,8.0,4200,"individual, insulin, tattoo, waitress, amnesia"
248,Alone,thursday,13,Forrest Gump,"Comedy, Drama, Romance",1994,8.0,8200,"vietnam veteran, hippie, mentally disabled, running, based on novel"
